2025년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품   목,항   목,규  격,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,평균,최대값,최소값,표준편차,Cp
,,,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,,,,,
옥수수,산   지,,,미산,,미산,,,미산,,미산,,,,,미산,,미산,,미산,,,미산,,,,,,,미산,,미산,,,,,,
,모선명,,,PAN,,PAN,,,PAN,,ACRA,,,,,ACRA,,ACRA,,PAN,,,PAN,,,,,,,PAN,,PAN,,,,,,
,,,,BICORN,,BICORN,,,BICORN,,,,,,,,,,,BICORN,,,BICORN,,,,,,,BICORN,,BICORN,,,,,,
,수   분,15% ↓,,13.55 ,,13.18 ,,,13.51 ,,13.65 ,,,,,,,,,,,,,,,,,,,13.16,,13.33,,13.40 ,13.65 ,13.16 ,,
,용적중,(中)685g/I ↑,,,,,,,,,,,,,,13.79 ,,13.36,,13.29,,,13.52,,,,,,,,,,,13.49 ,13.79 ,13.29 ,,
,,(美)695g/l ↑,,715.8 ,,704.9 ,,,706.3 ,,705.5,,,,,710,,707.2 ,,709.5 ,,,704.1 ,,,,,,,701.6 ,,703.6 ,,706.85 ,715.80 ,701.60 ,,
,손상립,,,1.6 ,,1.7 ,,,2.2 ,,2.1 ,,,,,1.9 ,,1.5 ,,1.3 ,,,2.0 ,,,,,,,1.2 ,,1.2 ,,,2.20 ,1.20 ,,
,파쇄립,,,1.7 ,,1.8 ,,,1.1 ,,1.1 ,,,,,1.8 ,,1.6 ,,1.5 ,,,1.1 ,,,,,,,1.4 ,,1.3 ,,,1.80 ,1.10 ,,
,이물,1%이하,,0.1 ,,0.1 ,,,0.1 ,,0.1 ,,,,,0.1 ,,0.1 ,,0.1 ,,,0.1 ,,,,,,,0.1 ,,0.1 ,,0.10 ,0.10 ,0.10 ,,
,옥세분진,,,1.2 ,,1.2 ,,,1.1 ,,1.0 ,,,,,1.1 ,,1.1 ,,1.1 ,,,1.1 ,,,,,,,1.1 ,,1.1 ,,,1.20 ,1.00 ,,
,BCFM,,,4.6 ,,4.8 ,,,4.4 ,,4.3 ,,,,,4.9 ,,4.3 ,,4.0 ,,,4.3 ,,,,,,,3.8 ,,3.7 ,,,,,,
,전분가(%),모선변경시,,,,,,,,,68.1 ,,,,,,,,,,,,,,,,,,,,,,,,68.10 ,68.10 ,,
,조단백(%),,,,,,,,,,7.2 ,,,,,,,,,,,,,,,,,,,,,,,,7.20 ,7.20 ,,
,조지방(%),,,,,,,,,,3.0 ,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,3.00 ,,
,조회분(%),,,,,,,,,,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,1.10 ,1.10 ,,
,조섬유(%),,,,,,,,,,8.2 ,,,,,,,,,,,,,,,,,,,,,,,,8.20 ,8.20 ,,
,발아율(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.00 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"◎  전분, 부산물 분석일보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수전분,ABS배출조단백,0.350% ↓,0.425 ,0.418 ,,,0.426 ,0.406 ,0.400 ,0.401 ,0.408 ,0.418 ,,,0.396 ,0.403 ,0.411 ,0.418 ,0.420 ,0.431 ,0.441 ,0.421 ,0.411 ,0.404 ,0.435 ,,,0.441 ,0.455 ,,0.461 ,0.443 ,0.453 ,0.42 ,0.461 ,0.396 ,,
,H/C전 조단백,0.350% ↓,0.512 ,0.499 ,중단,,0.512 ,0.503 ,0.527 ,0.547 ,0.533 ,0.522 ,중단,,0.501 ,0.512 ,0.521 ,0.499 ,0.531 ,0.544 ,0.565 ,0.531 ,0.506 ,0.501 ,0.521 ,중단,,0.512 ,0.524 ,_,0.535 ,0.521 ,0.534 ,0.52 ,0.57 ,0.50 ,,
,Grits,0.1% ↓,0.034 ,0.032 ,,,0.028 ,0.036 ,0.031 ,0.036 ,0.029 ,0.034 ,,,0.032 ,0.034 ,0.032 ,0.031 ,0.034 ,0.032 ,0.031 ,0.029 ,0.027 ,0.031 ,0.033 ,,,0.031 ,0.032 ,,0.034 ,0.032 ,0.034 ,0.03 ,0.04 ,0.03 ,,
,회  분,0.15% ↓,0.070 ,0.071 ,,,0.088 ,0.076 ,0.065 ,0.072 ,0.064 ,0.072 ,,,0.072 ,0.071 ,0.073 ,0.071 ,0.072 ,0.071 ,0.065 ,0.061 ,0.057 ,0.069 ,0.073 ,,,0.071 ,0.068 ,,0.071 ,0.068 ,0.071 ,0.07 ,0.09 ,0.06 ,,
"옥수수전분
(식품용-내수)",수  분,13% ↓,,,,,,,,,,,,,,,,,,,,9.20 ,,8.65 ,9.26 ,,,,,,,,,9.04 ,9.26 ,8.65 ,0.34 ,4.31 
,조단백,0.35%↓,,,,,,,,,,,,,,,,,,,,0.338 ,,0.349 ,0.339 ,,,,,,,,,0.34 ,0.349 ,0.338 ,,
,pH,4~7,,,,,,,,,,,,,,,,,,,,5.43 ,,5.44 ,5.35 ,,,,,,,,,5.41 ,5.44 ,5.35 ,,
,Grits,0.1% ↓,,,,,,,,,,,,,,,,,,,,0.021 ,,0.027 ,0.026 ,,,,,,,,,0.02 ,0.027 ,0.021 ,,
,회  분,0.15% ↓,,,,,,,,,,,,,,,,,,,,0.081 ,,0.066 ,0.068 ,,,,,,,,,0.07 ,0.081 ,0.066 ,,
,백 도,85 ↑,,,,,,,,,,,,,,,,,,,,91.1 ,,91.1 ,91.0 ,,,,,,,,,91.07 ,91.1 ,91.0 ,,
,SO2(ppm),,,,,,,,,,,,,,,,,,,,,3.20 ,,3.20 ,2.70 ,,,,,,,,,3.03 ,3.20 ,2.70 ,,
,잔류(ppm) - 키트법,,,,,,,,,,,,,,,,,,,,,0.0 ,,0.0 ,0.0 ,,,,,,,,,0.00 ,0.0 ,0.0 ,,
,잔류(ppm) - 비색법,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
"옥수수전분
(수출용)",수  분,13% ↓,,,,,,,,8.86 ,9.12 ,8.39 ,8.92 ,,,,,,9.72 ,,,,8.07 ,,,,,,,,,,,8.85 ,9.72 ,8.07 ,,
,조단백,0.35%↓,,,,,,,,0.331 ,0.329 ,0.342 ,0.34,,,,,,0.349,,,,0.340 ,,,,,,,,,,,0.34 ,0.35 ,0.33 ,,
,pH,4~7,,,,,,,,5.12 ,5.21 ,5.02 ,5.11,,,,,,5.39,,,,5.11 ,,,,,,,,,,,5.16 ,5.39 ,5.02 ,,
,Grits,0.1% ↓,,,,,,,,0.025 ,0.027 ,0.024 ,0.028,,,,,,0.026 ,,,,0.025 ,,,,,,,,,,,0.03 ,0.03 ,0.02 ,,
